,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
195,District 2,10.791115699999999,106.73672930000001,Fusion Suites Sai Gon,10.772772887251579,106.689894104782,Hotel
196,District 2,10.791115699999999,106.73672930000001,Liberty Central Saigon Citypoint Hotel,10.774758123745196,106.70079525019733,Hotel
197,District 2,10.791115699999999,106.73672930000001,Secret Garden,10.77742204305821,106.6999259071116,Vietnamese Restaurant
198,District 2,10.791115699999999,106.73672930000001,Phở Hòa Pasteur,10.786644168619457,106.68921916455398,Noodle House
199,District 2,10.791115699999999,106.73672930000001,Mekong Kitchen,10.767911,106.69805,Vietnamese Restaurant
200,District 3,10.783529099999999,106.68709840000001,Phở Hòa Pasteur,10.786644168619457,106.68921916455398,Noodle House
201,District 3,10.783529099999999,106.68709840000001,"Hum Vegetarian, Café & Restaurant",10.778750194659068,106.6922079986444,Vegetarian / Vegan Restaurant
202,District 3,10.783529099999999,106.68709840000001,Pizza 4P’s Hai Bà Trưng,10.783017468089634,106.69701706127131,Pizza Place
203,District 3,10.783529099999999,106.68709840000001,Fusion Suites Sai Gon,10.772772887251579,106.689894104782,Hotel
204,District 3,10.783529099999999,106.68709840000001,Prem Bistro,10.778974,106.690335,Vegetarian / Vegan Restaurant
205,District 3,10.783529099999999,106.68709840000001,Cuc Gach Quan,10.790773351792526,106.69179532524467,Vietnamese Restaurant
206,District 3,10.783529099999999,106.68709840000001,Cục Gạch,10.792957067150258,106.68902047646318,Vietnamese Restaurant
207,District 3,10.783529099999999,106.68709840000001,Pizza 4P's,10.77330135301938,106.69759947485072,Pizza Place
208,District 3,10.783529099999999,106.68709840000001,Manmaru,10.788212619866897,106.69572902037193,Japanese Restaurant
209,District 3,10.783529099999999,106.68709840000001,Social Club @ Hotel Des Arts,10.78237248224753,106.69730264745415,Hotel Bar
210,District 3,10.783529099999999,106.68709840000001,MGallery Hotel des Art,10.782237834212175,106.69743677678166,Hotel
211,District 3,10.783529099999999,106.68709840000001,MO-MO-PARADISE,10.780167629552494,106.69562657759879,Hotpot Restaurant
212,District 3,10.783529099999999,106.68709840000001,Phở Phú Gia,10.786485094791875,106.68467739351497,Noodle House
213,District 3,10.783529099999999,106.68709840000001,Noir. Dining in the Dark Saigon,10.786484355854066,106.6946791134439,Asian Restaurant
214,District 3,10.783529099999999,106.68709840000001,Sushi Hokkaido Sachi Nguyễn Trãi,10.769228635370144,106.69037055801432,Sushi Restaurant
215,District 3,10.783529099999999,106.68709840000001,Bánh Mì Huỳnh Hoa,10.77149,106.69238,Sandwich Place
216,District 3,10.783529099999999,106.68709840000001,Biacraft Artisan Ales,10.776364499278667,106.685608306174,Beer Bar
217,District 3,10.783529099999999,106.68709840000001,Silverland Yen Hotel,10.774849922100469,106.69616040962687,Hotel
218,District 3,10.783529099999999,106.68709840000001,Propaganda,10.778912622927256,106.69789343017,Vietnamese Restaurant
219,District 3,10.783529099999999,106.68709840000001,Park Hyatt Saigon,10.777573945426527,106.70360889230898,Hotel
220,District 3,10.783529099999999,106.68709840000001,Pizza 4P's,10.78222351254141,106.70497084169759,Pizza Place
221,District 3,10.783529099999999,106.68709840000001,Ashima Mushroom Hotpot,10.783649996666547,106.68948515078557,Restaurant
222,District 3,10.783529099999999,106.68709840000001,Vietcetera Cafe,10.773102046515987,106.6889332088037,Café
223,District 3,10.783529099999999,106.68709840000001,Heart Of Darkness,10.779781,106.702999,Bar
224,District 3,10.783529099999999,106.68709840000001,Pasteur Street Brewing Company,10.77522,106.700894,Brewery
225,District 3,10.783529099999999,106.68709840000001,Fit24 Fitness & Yoga Center - Ho Xuan Huong,10.777332109050471,106.68766094161445,Gym / Fitness Center
226,District 3,10.783529099999999,106.68709840000001,Đường Sách Nguyễn Văn Bình,10.78024894539262,106.69940381539705,Bookstore
227,District 3,10.783529099999999,106.68709840000001,Phở Dậu,10.789735768675182,106.6849963376821,Vietnamese Restaurant
228,District 3,10.783529099999999,106.68709840000001,Bánh Mì 37,10.770827785457048,106.69260699082677,Food Truck
229,District 3,10.783529099999999,106.68709840000001,Ân Nam quán,10.777905499598061,106.68363956145008,Restaurant
230,District 3,10.783529099999999,106.68709840000001,Ngu Binh,10.792287700473349,106.68208227217171,Vietnamese Restaurant
231,District 3,10.783529099999999,106.68709840000001,Starbucks Reserve Hàn Thuyên,10.778961394448013,106.69818512269273,Coffee Shop
232,District 3,10.783529099999999,106.68709840000001,InterContinental Saigon,10.7812397,106.7005025,Hotel
